signing_year,half_life_months,n,mae,rmse,bias,mean_ess,median_ess
2015,4,31,1.5280836593841474,1.7056502847683057,0.156440394568918,14.9997362267845,13.394142889120157
2015,6,31,1.5082566486353015,1.6728029906121509,0.22076380251736208,19.97990817595608,19.431136330347414
2015,8,31,1.512458738236935,1.6653896998476556,0.26798785936174246,23.400108362107805,23.022961875615707
2015,12,31,1.5273118083694686,1.6700020756030403,0.3301667421536361,27.184009664608805,27.312197961093265
2015,24,31,1.5491259379764943,1.6926335981296596,0.4097786033804477,30.521354968798388,30.687520124516862
2015,60,31,1.5654188550846468,1.7171105636272455,0.4658911595418075,31.717149793600854,31.781669455222687
2016,4,63,2.124517344473665,2.6718583287350555,-0.09232420449827536,18.206959490365143,18.288775063213922
2016,6,63,2.091618235078231,2.650360277827371,-0.04968727552922604,23.86725135132114,25.7762845808634
2016,8,63,2.0711299670529053,2.6374060484422266,-0.004850113132774701,28.49692592561722,32.577699957150955
2016,12,63,2.0515032629205923,2.626232476172289,0.07209871430638817,34.72695074796058,40.56562595320323
2016,24,63,2.0216321635218426,2.6242431060658817,0.1996595663222945,41.752700721475954,46.4387114432413
2016,60,63,1.9972062204885643,2.6333911693045553,0.30786201696453014,44.85246889613136,49.06578657024253
2017,4,64,2.1298541458262887,3.0121810256657278,0.30130146833948784,23.83124803996837,22.660975952787098
2017,6,64,2.137647326562866,3.0046690745017393,0.3953560186127363,33.2154783603219,32.55869624664844
2017,8,64,2.14345065363642,3.00552064218591,0.45953533957993087,41.10961499092243,40.92058495386317
2017,12,64,2.152184100784228,3.012797733781279,0.5454883196311394,52.31166613988441,52.78033794424728
2017,24,64,2.161508943123877,3.032290000164154,0.6732350157169624,66.43792858548193,69.64372342910008
2017,60,64,2.175560349630385,3.054900655197654,0.7835536250276924,73.5092711513449,77.58272819570465
2018,4,95,2.4828415175299963,3.110123670018934,-0.37699230772959724,26.232726843100075,24.936068411759493
2018,6,95,2.47919660717937,3.1036127561642064,-0.25783502816699233,36.60494261559498,40.54267315729391
2018,8,95,2.4763442855044264,3.0968696957539454,-0.15760943122611057,45.85872952274649,49.24932962073941
2018,12,95,2.481972276839432,3.0895971144661627,-0.012518324337962317,60.049606122404256,65.33301548280362
2018,24,95,2.4958564503727008,3.091477449046158,0.2026944428658361,80.41353098169537,91.04901331292137
2018,60,95,2.511878675258149,3.1081217578905225,0.38104022545217064,92.0452095023987,104.97974673984824
2019,4,122,2.719159791608857,3.449551062776369,-0.07637654561036744,32.92329298694126,34.22693286074281
2019,6,122,2.719505092645168,3.4196965352057758,-0.07965741571378061,45.93605889295672,49.20656036152059
2019,8,122,2.720753162156101,3.405315870606046,-0.06947954297107026,57.38119126794127,59.60132621497325
2019,12,122,2.7263282902872983,3.3928413212859065,-0.03686598004243225,75.47172465331221,78.50387102326548
2019,24,122,2.7381160425598465,3.3862792824153347,0.04905305775645347,104.33477526563595,115.22792583433926
2019,60,122,2.750147496895916,3.390503057920581,0.15134205059908076,123.5650949101438,141.2683420501327
2020,4,116,2.127345918344842,2.544298525596172,0.5086126061401331,29.956764714584423,29.192232755786073
2020,6,116,2.168192744327722,2.576656907777373,0.712942003864554,45.31578428297301,45.08134244453671
2020,8,116,2.208845414817815,2.610758578456341,0.8457548136578847,59.51198154335281,61.17883015969805
2020,12,116,2.2648505465617985,2.6676027494618224,1.0051241380229479,82.03335677095613,85.96022969968124
